state,occupation,measure,value
SD,"Software Developers, Applications",Annual 90th percentile wage,      103720
SD,"Software Developers, Systems Software",Annual mean wage,       89370
SD,"Software Developers, Systems Software",Annual 10th percentile wage,       57080
SD,"Software Developers, Systems Software",Annual 25th percentile wage,       66890
SD,"Software Developers, Systems Software",Annual median wage,       84780
SD,"Software Developers, Systems Software",Annual 75th percentile wage,      102910
SD,"Software Developers, Systems Software",Annual 90th percentile wage,      127350
SD,Web Developers,Annual mean wage,       55720
SD,Web Developers,Annual 10th percentile wage,       36920
SD,Web Developers,Annual 25th percentile wage,       43990
SD,Web Developers,Annual median wage,       53860
SD,Web Developers,Annual 75th percentile wage,       64670
SD,Web Developers,Annual 90th percentile wage,       78140
TN,Computer Programmers,Annual mean wage,       76740
TN,Computer Programmers,Annual 10th percentile wage,       49360
TN,Computer Programmers,Annual 25th percentile wage,       59780
TN,Computer Programmers,Annual median wage,       74060
TN,Computer Programmers,Annual 75th percentile wage,       92480
TN,Computer Programmers,Annual 90th percentile wage,      107490
TN,"Software Developers, Applications",Annual mean wage,       87580
TN,"Software Developers, Applications",Annual 10th percentile wage,       49370
TN,"Software Developers, Applications",Annual 25th percentile wage,       65860
TN,"Software Developers, Applications",Annual median wage,       87890
TN,"Software Developers, Applications",Annual 75th percentile wage,      106640
TN,"Software Developers, Applications",Annual 90th percentile wage,      125770
TN,"Software Developers, Systems Software",Annual mean wage,       88910
TN,"Software Developers, Systems Software",Annual 10th percentile wage,       56390
TN,"Software Developers, Systems Software",Annual 25th percentile wage,       69360
TN,"Software Developers, Systems Software",Annual median wage,       86890
TN,"Software Developers, Systems Software",Annual 75th percentile wage,      104950
TN,"Software Developers, Systems Software",Annual 90th percentile wage,      124870
TN,Web Developers,Annual mean wage,       61370
TN,Web Developers,Annual 10th percentile wage,       31170
TN,Web Developers,Annual 25th percentile wage,       44490
TN,Web Developers,Annual median wage,       60080
TN,Web Developers,Annual 75th percentile wage,       76100
TN,Web Developers,Annual 90th percentile wage,       94060
TX,Computer Programmers,Annual mean wage,       86200
TX,Computer Programmers,Annual 10th percentile wage,       48840
TX,Computer Programmers,Annual 25th percentile wage,       65550
TX,Computer Programmers,Annual median wage,       82620
TX,Computer Programmers,Annual 75th percentile wage,      103170
TX,Computer Programmers,Annual 90th percentile wage,      129020
TX,"Software Developers, Applications",Annual mean wage,      107280
TX,"Software Developers, Applications",Annual 10th percentile wage,       65630
TX,"Software Developers, Applications",Annual 25th percentile wage,       83230
TX,"Software Developers, Applications",Annual median wage,      107720
TX,"Software Developers, Applications",Annual 75th percentile wage,      128920
TX,"Software Developers, Applications",Annual 90th percentile wage,      154310
TX,"Software Developers, Systems Software",Annual mean wage,      111040
TX,"Software Developers, Systems Software",Annual 10th percentile wage,       64600
TX,"Software Developers, Systems Software",Annual 25th percentile wage,       84700
TX,"Software Developers, Systems Software",Annual median wage,      107340
TX,"Software Developers, Systems Software",Annual 75th percentile wage,      131960
TX,"Software Developers, Systems Software",Annual 90th percentile wage,      162150
TX,Web Developers,Annual mean wage,       71340
TX,Web Developers,Annual 10th percentile wage,       39170
TX,Web Developers,Annual 25th percentile wage,       52620
TX,Web Developers,Annual median wage,       68660
TX,Web Developers,Annual 75th percentile wage,       88730
TX,Web Developers,Annual 90th percentile wage,      111440
UT,Computer Programmers,Annual mean wage,       80930
UT,Computer Programmers,Annual 10th percentile wage,       47270
UT,Computer Programmers,Annual 25th percentile wage,       64560
UT,Computer Programmers,Annual median wage,       77570
UT,Computer Programmers,Annual 75th percentile wage,       97470
UT,Computer Programmers,Annual 90th percentile wage,      120630
UT,"Software Developers, Applications",Annual mean wage,       96790
UT,"Software Developers, Applications",Annual 10th percentile wage,       53970
UT,"Software Developers, Applications",Annual 25th percentile wage,       70710
UT,"Software Developers, Applications",Annual median wage,       94320
UT,"Software Developers, Applications",Annual 75th percentile wage,      118690
UT,"Software Developers, Applications",Annual 90th percentile wage,      141830
UT,"Software Developers, Systems Software",Annual mean wage,      105220
UT,"Software Developers, Systems Software",Annual 10th percentile wage,       59120
UT,"Software Developers, Systems Software",Annual 25th percentile wage,       79350
UT,"Software Developers, Systems Software",Annual median wage,      101130
UT,"Software Developers, Systems Software",Annual 75th percentile wage,      131010
UT,"Software Developers, Systems Software",Annual 90th percentile wage,      159730
UT,Web Developers,Annual mean wage,       66490
UT,Web Developers,Annual 10th percentile wage,       31720
UT,Web Developers,Annual 25th percentile wage,       42880
UT,Web Developers,Annual median wage,       62130
UT,Web Developers,Annual 75th percentile wage,       80680
UT,Web Developers,Annual 90th percentile wage,      102010
VT,Computer Programmers,Annual mean wage,       69140
VT,Computer Programmers,Annual 10th percentile wage,       36710
VT,Computer Programmers,Annual 25th percentile wage,       48450
VT,Computer Programmers,Annual median wage,       66930
VT,Computer Programmers,Annual 75th percentile wage,       82560
VT,Computer Programmers,Annual 90th percentile wage,      107640
VT,"Software Developers, Applications",Annual mean wage,       94940
VT,"Software Developers, Applications",Annual 10th percentile wage,       61490
VT,"Software Developers, Applications",Annual 25th percentile wage,       73520
VT,"Software Developers, Applications",Annual median wage,       93180
VT,"Software Developers, Applications",Annual 75th percentile wage,      116360
VT,"Software Developers, Applications",Annual 90th percentile wage,      131640
VT,Web Developers,Annual mean wage,       65230
VT,Web Developers,Annual 10th percentile wage,       30920
VT,Web Developers,Annual 25th percentile wage,       44570
VT,Web Developers,Annual median wage,       61140
VT,Web Developers,Annual 75th percentile wage,       86650
VT,Web Developers,Annual 90th percentile wage,      103610
VA,Computer Programmers,Annual mean wage,       95520
VA,Computer Programmers,Annual 10th percentile wage,       53910
VA,Computer Programmers,Annual 25th percentile wage,       70570
VA,Computer Programmers,Annual median wage,       93090
VA,Computer Programmers,Annual 75th percentile wage,      118960
VA,Computer Programmers,Annual 90th percentile wage,      146740
VA,"Software Developers, Applications",Annual mean wage,      111010
VA,"Software Developers, Applications",Annual 10th percentile wage,       64500
VA,"Software Developers, Applications",Annual 25th percentile wage,       79180
VA,"Software Developers, Applications",Annual median wage,      106500
VA,"Software Developers, Applications",Annual 75th percentile wage,      139500
VA,"Software Developers, Applications",Annual 90th percentile wage,      165170
VA,"Software Developers, Systems Software",Annual mean wage,      121560
VA,"Software Developers, Systems Software",Annual 10th percentile wage,       74130
VA,"Software Developers, Systems Software",Annual 25th percentile wage,       93320
VA,"Software Developers, Systems Software",Annual median wage,      119430
VA,"Software Developers, Systems Software",Annual 75th percentile wage,      148870
VA,"Software Developers, Systems Software",Annual 90th percentile wage,      170510
VA,Web Developers,Annual mean wage,       85870
VA,Web Developers,Annual 10th percentile wage,       41640
VA,Web Developers,Annual 25th percentile wage,       58800
VA,Web Developers,Annual median wage,       82180
VA,Web Developers,Annual 75th percentile wage,      106140
VA,Web Developers,Annual 90th percentile wage,      127820
WA,Computer Programmers,Annual mean wage,      121000
WA,Computer Programmers,Annual 10th percentile wage,       70150
WA,Computer Programmers,Annual 25th percentile wage,       98480
WA,Computer Programmers,Annual median wage,      124900
WA,Computer Programmers,Annual 75th percentile wage,      148920
WA,Computer Programmers,Annual 90th percentile wage,      164250
WA,"Software Developers, Applications",Annual mean wage,      131430
WA,"Software Developers, Applications",Annual 10th percentile wage,       79480
WA,"Software Developers, Applications",Annual 25th percentile wage,      105200
WA,"Software Developers, Applications",Annual median wage,      127770
WA,"Software Developers, Applications",Annual 75th percentile wage,      156860
WA,"Software Developers, Applications",Annual 90th percentile wage,      189120
WA,"Software Developers, Systems Software",Annual mean wage,      117810
WA,"Software Developers, Systems Software",Annual 10th percentile wage,       72490
WA,"Software Developers, Systems Software",Annual 25th percentile wage,       93430
WA,"Software Developers, Systems Software",Annual median wage,      117280
WA,"Software Developers, Systems Software",Annual 75th percentile wage,      142920
WA,"Software Developers, Systems Software",Annual 90th percentile wage,      164280
WA,Web Developers,Annual mean wage,       92260
WA,Web Developers,Annual 10th percentile wage,       50600
WA,Web Developers,Annual 25th percentile wage,       65280
WA,Web Developers,Annual median wage,       87190
WA,Web Developers,Annual 75th percentile wage,      116150
WA,Web Developers,Annual 90th percentile wage,      145800
WV,Computer Programmers,Annual mean wage,       80420
WV,Computer Programmers,Annual 10th percentile wage,       38030
WV,Computer Programmers,Annual 25th percentile wage,       47170
WV,Computer Programmers,Annual median wage,       64950
WV,Computer Programmers,Annual 75th percentile wage,       92530
WV,Computer Programmers,Annual 90th percentile wage,      129730
WV,"Software Developers, Applications",Annual mean wage,       86390
WV,"Software Developers, Applications",Annual 10th percentile wage,       40140
WV,"Software Developers, Applications",Annual 25th percentile wage,       59340
WV,"Software Developers, Applications",Annual median wage,       78840
WV,"Software Developers, Applications",Annual 75th percentile wage,      107990
WV,"Software Developers, Applications",Annual 90th percentile wage,      140620
WV,"Software Developers, Systems Software",Annual mean wage,       92710
WV,"Software Developers, Systems Software",Annual 10th percentile wage,       46430
WV,"Software Developers, Systems Software",Annual 25th percentile wage,       64460
WV,"Software Developers, Systems Software",Annual median wage,       85020
WV,"Software Developers, Systems Software",Annual 75th percentile wage,      102930
WV,"Software Developers, Systems Software",Annual 90th percentile wage,      138480
WV,Web Developers,Annual mean wage,       54410
WV,Web Developers,Annual 10th percentile wage,       30660
WV,Web Developers,Annual 25th percentile wage,       40470
WV,Web Developers,Annual median wage,       51320
WV,Web Developers,Annual 75th percentile wage,       66810
WV,Web Developers,Annual 90th percentile wage,       82690
WI,Computer Programmers,Annual mean wage,       76190
WI,Computer Programmers,Annual 10th percentile wage,       45960
WI,Computer Programmers,Annual 25th percentile wage,       57050
WI,Computer Programmers,Annual median wage,       72410
WI,Computer Programmers,Annual 75th percentile wage,       91090
WI,Computer Programmers,Annual 90th percentile wage,      104040
WI,"Software Developers, Applications",Annual mean wage,       85580
WI,"Software Developers, Applications",Annual 10th percentile wage,       54400
WI,"Software Developers, Applications",Annual 25th percentile wage,       67430
WI,"Software Developers, Applications",Annual median wage,       82790
WI,"Software Developers, Applications",Annual 75th percentile wage,      100560
WI,"Software Developers, Applications",Annual 90th percentile wage,      122520
WI,"Software Developers, Systems Software",Annual mean wage,       87300
WI,"Software Developers, Systems Software",Annual 10th percentile wage,       56370
WI,"Software Developers, Systems Software",Annual 25th percentile wage,       69400
WI,"Software Developers, Systems Software",Annual median wage,       84820
WI,"Software Developers, Systems Software",Annual 75th percentile wage,      100930
WI,"Software Developers, Systems Software",Annual 90th percentile wage,      121990
WI,Web Developers,Annual mean wage,       52810
WI,Web Developers,Annual 10th percentile wage,       29590
WI,Web Developers,Annual 25th percentile wage,       36630
WI,Web Developers,Annual median wage,       48980
WI,Web Developers,Annual 75th percentile wage,       65450
WI,Web Developers,Annual 90th percentile wage,       81270
WY,Computer Programmers,Annual mean wage,       65480
WY,Computer Programmers,Annual 10th percentile wage,       34540
WY,Computer Programmers,Annual 25th percentile wage,       39050
WY,Computer Programmers,Annual median wage,       60260
WY,Computer Programmers,Annual 75th percentile wage,       81740
WY,Computer Programmers,Annual 90th percentile wage,       95820
WY,"Software Developers, Applications",Annual mean wage,       69380
WY,"Software Developers, Applications",Annual 10th percentile wage,       46930
WY,"Software Developers, Applications",Annual 25th percentile wage,       57130
WY,"Software Developers, Applications",Annual median wage,       64540
WY,"Software Developers, Applications",Annual 75th percentile wage,       79810
WY,"Software Developers, Applications",Annual 90th percentile wage,       99380
WY,"Software Developers, Systems Software",Annual mean wage,       89420
WY,"Software Developers, Systems Software",Annual 10th percentile wage,       49260
WY,"Software Developers, Systems Software",Annual 25th percentile wage,       64420
WY,"Software Developers, Systems Software",Annual median wage,       89990
WY,"Software Developers, Systems Software",Annual 75th percentile wage,      113740
WY,"Software Developers, Systems Software",Annual 90th percentile wage,      125500
WY,Web Developers,Annual mean wage,       70400
WY,Web Developers,Annual 10th percentile wage,       32640
WY,Web Developers,Annual 25th percentile wage,       39200
WY,Web Developers,Annual median wage,       52420
WY,Web Developers,Annual 75th percentile wage,       66610
WY,Web Developers,Annual 90th percentile wage,      115420
PR,Computer Programmers,Annual mean wage,       48260
PR,Computer Programmers,Annual 10th percentile wage,       23800
PR,Computer Programmers,Annual 25th percentile wage,       32740
PR,Computer Programmers,Annual median wage,       45380
PR,Computer Programmers,Annual 75th percentile wage,       61030
PR,Computer Programmers,Annual 90th percentile wage,       76080
PR,"Software Developers, Applications",Annual mean wage,       57430
PR,"Software Developers, Applications",Annual 10th percentile wage,       29650
PR,"Software Developers, Applications",Annual 25th percentile wage,       40180
PR,"Software Developers, Applications",Annual median wage,       54620
PR,"Software Developers, Applications",Annual 75th percentile wage,       72560
PR,"Software Developers, Applications",Annual 90th percentile wage,       91020
PR,"Software Developers, Systems Software",Annual mean wage,       62120
PR,"Software Developers, Systems Software",Annual 10th percentile wage,       37660
PR,"Software Developers, Systems Software",Annual 25th percentile wage,       46330
PR,"Software Developers, Systems Software",Annual median wage,       58310
PR,"Software Developers, Systems Software",Annual 75th percentile wage,       72500
PR,"Software Developers, Systems Software",Annual 90th percentile wage,       88420
PR,Web Developers,Annual mean wage,       37770
PR,Web Developers,Annual 10th percentile wage,       21880
PR,Web Developers,Annual 25th percentile wage,       27280
PR,Web Developers,Annual median wage,       35780
PR,Web Developers,Annual 75th percentile wage,       45830
PR,Web Developers,Annual 90th percentile wage,       55300
