framework,date,downloads
ionic,2020-01-07,39128
ember,2016-01-12,512
ember,2016-01-19,505
ember,2016-01-26,411
ember,2016-02-02,471
ember,2016-02-09,517
ember,2016-02-16,589
ember,2016-02-23,500
ember,2016-03-01,561
ember,2016-03-08,530
ember,2016-03-15,432
ember,2016-03-22,755
ember,2016-03-29,692
ember,2016-04-05,556
ember,2016-04-12,709
ember,2016-04-19,521
ember,2016-04-26,421
ember,2016-05-03,575
ember,2016-05-10,591
ember,2016-05-17,470
ember,2016-05-24,472
ember,2016-05-31,379
ember,2016-06-07,399
ember,2016-06-14,366
ember,2016-06-21,416
ember,2016-06-28,495
ember,2016-07-05,540
ember,2016-07-12,682
ember,2016-07-19,610
ember,2016-07-26,482
ember,2016-08-02,519
ember,2016-08-09,640
ember,2016-08-16,600
ember,2016-08-23,609
ember,2016-08-30,482
ember,2016-09-06,495
ember,2016-09-13,454
ember,2016-09-20,535
ember,2016-09-27,440
ember,2016-10-04,438
ember,2016-10-11,473
ember,2016-10-18,545
ember,2016-10-25,468
ember,2016-11-01,457
ember,2016-11-08,557
ember,2016-11-15,508
ember,2016-11-22,448
ember,2016-11-29,431
ember,2016-12-06,648
ember,2016-12-13,502
ember,2016-12-20,544
ember,2016-12-27,419
ember,2017-01-03,519
ember,2017-01-10,455
ember,2017-01-17,572
ember,2017-01-24,465
ember,2017-01-31,540
ember,2017-02-07,539
ember,2017-02-14,494
ember,2017-02-21,572
ember,2017-02-28,604
ember,2017-03-07,786
ember,2017-03-14,606
ember,2017-03-21,542
ember,2017-03-28,633
ember,2017-04-04,606
ember,2017-04-11,591
ember,2017-04-18,586
ember,2017-04-25,492
ember,2017-05-02,546
ember,2017-05-09,634
ember,2017-05-16,670
ember,2017-05-23,703
ember,2017-05-30,420
ember,2017-06-06,540
ember,2017-06-13,772
ember,2017-06-20,653
ember,2017-06-27,695
ember,2017-07-04,654
ember,2017-07-11,896
ember,2017-07-18,937
ember,2017-07-25,1017
ember,2017-08-01,1004
ember,2017-08-08,878
ember,2017-08-15,900
ember,2017-08-22,1193
ember,2017-08-29,1181
ember,2017-09-05,843
ember,2017-09-12,930
ember,2017-09-19,936
ember,2017-09-26,905
ember,2017-10-03,1109
ember,2017-10-10,1315
ember,2017-10-17,1246
ember,2017-10-24,1099
ember,2017-10-31,729
ember,2017-11-07,805
ember,2017-11-14,2753
ember,2017-11-21,2689
ember,2017-11-28,923
ember,2017-12-05,891
ember,2017-12-12,700
ember,2017-12-19,899
ember,2017-12-26,534
ember,2018-01-02,410
ember,2018-01-09,789
ember,2018-01-16,777
ember,2018-01-23,639
ember,2018-01-30,682
ember,2018-02-06,647
ember,2018-02-13,773
ember,2018-02-20,1180
ember,2018-02-27,2007
ember,2018-03-06,2869
ember,2018-03-13,3467
ember,2018-03-20,3580
ember,2018-03-27,5082
ember,2018-04-03,4572
ember,2018-04-10,896
ember,2018-04-17,632
ember,2018-04-24,592
ember,2018-05-01,791
ember,2018-05-08,806
ember,2018-05-15,776
ember,2018-05-22,870
ember,2018-05-29,681
ember,2018-06-05,671
ember,2018-06-12,680
ember,2018-06-19,700
ember,2018-06-26,733
ember,2018-07-03,838
ember,2018-07-10,752
ember,2018-07-17,877
ember,2018-07-24,1079
ember,2018-07-31,818
ember,2018-08-07,781
ember,2018-08-14,947
ember,2018-08-21,855
ember,2018-08-28,948
ember,2018-09-04,778
ember,2018-09-11,838
ember,2018-09-18,1088
ember,2018-09-25,900
ember,2018-10-02,864
ember,2018-10-09,893
ember,2018-10-16,836
ember,2018-10-23,1310
ember,2018-10-30,1223
ember,2018-11-06,1041
ember,2018-11-13,795
ember,2018-11-20,738
ember,2018-11-27,723
ember,2018-12-04,843
ember,2018-12-11,1073
ember,2018-12-18,827
ember,2018-12-25,829
ember,2019-01-01,439
ember,2019-01-08,728
ember,2019-01-15,924
ember,2019-01-22,763
ember,2019-01-29,908
ember,2019-02-05,765
ember,2019-02-12,703
ember,2019-02-19,846
ember,2019-02-26,993
ember,2019-03-05,835
ember,2019-03-12,972
ember,2019-03-19,651
ember,2019-03-26,861
ember,2019-04-02,1142
ember,2019-04-09,1460
ember,2019-04-16,1597
ember,2019-04-23,1650
ember,2019-04-30,1172
ember,2019-05-07,794
ember,2019-05-14,940
ember,2019-05-21,632
ember,2019-05-28,726
ember,2019-06-04,1074
ember,2019-06-11,2998
ember,2019-06-18,4028
ember,2019-06-25,2728
ember,2019-07-02,3115
ember,2019-07-09,1845
ember,2019-07-16,1419
ember,2019-07-23,1006
ember,2019-07-30,1234
ember,2019-08-06,1032
ember,2019-08-13,1028
ember,2019-08-20,956
ember,2019-08-27,1075
ember,2019-09-03,1100
ember,2019-09-10,1158
ember,2019-09-17,982
ember,2019-09-24,1229
ember,2019-10-01,1547
ember,2019-10-08,1888
ember,2019-10-15,1932
ember,2019-10-22,1888
ember,2019-10-29,1686
ember,2019-11-05,1717
ember,2019-11-12,1405
ember,2019-11-19,1586
ember,2019-11-26,1761
ember,2019-12-03,1414
ember,2019-12-10,1773
ember,2019-12-17,2199
ember,2019-12-24,1728
ember,2019-12-31,670
ember,2020-01-07,1109
